theta,error,runtime_naive,runtime
0.00,0.000000,90.70,4161.80
0.01,0.080090,90.10,4210.70
0.02,0.106322,91.70,4314.40
0.03,0.196883,90.40,4429.50
0.04,0.294740,90.80,4294.90
0.05,0.429840,90.80,4001.70
0.06,0.431272,91.00,3977.10
0.07,0.624496,93.20,3937.60
0.08,0.625010,90.80,3866.40
0.09,0.708256,90.60,3836.00
0.10,0.708743,91.80,3782.30
0.11,0.709235,91.30,3781.50
0.12,0.709414,93.80,3647.20
0.13,0.802489,91.00,3589.30
0.14,0.806722,93.30,3504.80
0.15,0.820503,90.80,3388.40
0.16,0.836400,91.30,3403.70
0.17,1.065678,91.00,3333.80
0.18,1.076582,92.10,3313.00
0.19,1.085549,92.50,3387.40
0.20,1.103770,91.10,3291.20
0.25,1.105580,91.60,3251.10
0.30,1.105726,91.90,3194.00
0.35,1.106994,93.00,3181.70
0.40,1.132387,92.00,3146.70
0.45,1.136424,91.80,3167.20
0.50,1.137841,90.90,3161.80
0.55,1.138103,91.80,3129.30
0.60,1.138803,93.60,3111.80
0.65,1.141208,91.30,3158.80
0.70,1.148219,91.80,3138.20
0.75,1.148662,91.10,3201.50
0.80,1.159694,91.10,3088.90
0.85,1.160120,91.20,3192.70
0.90,1.160289,91.40,3134.80
0.95,1.160457,91.40,3112.30
1.00,1.160607,91.30,3143.00





